window_size,Embedding,Batch Size Word2vec,Batch Size Classifier,version,Accuracy
2,50,4,8,1.1,0.9409722222222222
2,50,4,8,1.2,0.8611111111111112
2,50,4,8,1.2,0.028985507246376812
2,50,4,8,1.2,0.6898550724637681
2,50,4,8,2.1,0.9598853868194842
2,50,4,8,2.2,0.04371584699453552
2,50,4,8,2.2,0.04371584699453552
2,50,4,8,3.1,0.9289617486338798
2,50,4,8,4.1,0.953551912568306
2,50,4,8,4.2,0.9562841530054644
2,50,4,8,4.3,0.8888888888888888
2,50,4,8,4.3,1.0
2,50,4,8,4.4,1.0
2,50,4,8,5.1,1.0
2,50,4,8,5.1,1.0
2,50,4,8,5.2,0.0
2,50,4,8,5.2,1.0
2,50,4,16,5.3,1.0
2,50,4,8,6.1,0.0
2,50,4,8,6.1,1.0
2,50,4,8,6.2,1.0
2,50,4,8,6.3,1.0
2,50,4,8,6.4,0.0975609756097561
2,50,4,8,6.5,1.0
2,50,4,8,6.6,1.0
2,50,4,8,6.7,1.0
2,50,4,8,7.1,1.0
2,50,4,8,7.2,1.0
2,50,4,8,7.3,1.0
2,50,4,8,7.3,1.0
2,50,4,8,7.4,1.0
2,50,4,8,7.5,1.0
2,50,4,8,8.1,1.0
2,50,4,8,8.1,1.0
2,50,4,8,8.1,0.5
2,50,4,8,8.1,1.0
2,50,4,8,8.1,1.0
2,50,4,8,8.1,1.0
2,50,4,8,9.1,1.0
2,50,4,8,9.2,1.0
2,50,4,8,10.1,1.0
2,50,4,8,10.1,1.0
2,50,4,8,10.3,1.0
2,50,4,8,10.3,1.0
2,50,4,8,10.3,1.0
2,50,4,8,10.3,1.0
2,50,4,8,10.3,1.0
2,50,4,8,10.4,1.0
2,50,4,8,10.4,0.9542168674698795
2,50,4,8,10.4,1.0
2,50,4,8,10.4,1.0
2,50,4,8,10.5,0.5
2,50,4,8,10.5,0.5
2,50,4,8,10.5,0.5
2,50,4,8,10.5,0.0
2,50,4,8,10.6,0.0
2,50,4,8,10.6,1.0
2,50,4,8,10.6,0.6666666666666666
2,50,4,8,10.6,1.0
2,50,4,8,10.6,0.5
2,50,4,8,10.6,0.5
2,50,4,8,10.6,1.0
2,50,4,8,10.7,1.0
2,50,4,8,10.8,1.0
2,50,4,8,10.8,1.0
2,50,4,8,10.9,1.0
2,50,4,8,10.9,1.0
2,50,4,8,10.9,1.0
2,50,4,8,10.9,0.5
2,50,4,8,10.10,1.0
2,50,4,8,10.10,1.0
2,50,4,8,10.10,1.0
2,50,4,8,10.10,1.0
2,50,4,8,10.10,1.0
2,50,4,8,10.10,1.0
2,50,4,8,10.11,1.0
2,50,4,8,10.11,1.0
2,50,4,8,10.11,0.005333333333333333
2,50,4,8,10.11,0.9565217391304348
2,50,4,8,10.11,1.0
2,50,4,8,10.11,0.9375
2,50,4,8,10.12,1.0
2,50,4,8,10.13,1.0
2,50,4,8,10.13,1.0
2,50,4,8,10.14,1.0
